t_index term df
1450 busiest 1
1451 busili 1
1452 businessman 54
1453 businessmen 5
1454 buss 1
1455 bust 7
1456 bustamant 1
1457 bustl 5
1458 butcher 4
1459 butter 1
1460 button 4
1461 buttress 5
1462 buy 44
1463 buyer 2
1464 buzz 6
1465 bye 5
1466 bypass 5
1467 byrd 6
1468 ca 1
1469 cab 2
1470 cabana 1
1471 cabin 2
1472 cabinet 32
1473 cabl 5
1474 cacak 8
1475 cach 2
1476 cadav 1
1477 cadet 1
1478 caeti 1
1479 cafe 4
1480 cafetalon 1
1481 cafeteria 1
1482 cage 5
1483 cagl 1
1484 cahokia 3
1485 cairo 5
1486 caisson 1
1487 cake 5
1488 cal 2
1489 calam 5
1490 calamit 1
1491 calatrava 2
1492 calcul 10
1493 calculu 1
1494 calcutta 3
1495 calderon 1
1496 calena 1
1497 caley 1
1498 calhoun 1
1499 calib 4
1500 calif 7
1501 california 32
1502 calina 1
1503 calix 1
1504 call 371
1505 callahan 1
1506 callen 3
1507 caller 5
1508 callou 1
1509 callous 1
1510 calm 38
1511 calmli 1
1512 calvario 6
1513 calvert 1
1514 cambodia 3
1515 camden 1
1516 camel 3
1517 camera 26
1518 cameraman 3
1519 cameroon 2
1520 camouflag 7
1521 camp 49
1522 campaign 155
1523 campbel 1
1524 campfir 3
1525 campground 1
1526 campu 2
1527 canada 14
1528 canal 21
1529 canberra 1
1530 cancel 38
1531 cancer 45
1532 candid 144
1533 candidaci 15
1534 candiotti 2
1535 candl 3
1536 candlelight 4
1537 candor 2
1538 cane 2
1539 canist 2
1540 cannaday 3
1541 cannistraro 4
1542 cannon 3
1543 canon 1
1544 canopi 2
1545 canton 1
1546 cantwel 4
1547 canva 3
1548 canvass 3
1549 cap 19
1550 capabl 25
1551 capac 15
1552 cape 2
1553 capit 159
1554 capitalist 2
1555 capitol 28
1556 capitul 1
1557 capp 1
1558 capriati 33
1559 capsul 2
1560 capt 30
1561 captain 28
1562 captiv 6
1563 captor 4
1564 captur 58
1565 car 99
1566 caraca 2
1567 carat 1
1568 caravan 3
1569 carbon 2
1570 card 21
1571 cardboard 1
1572 cardiopulmonari 1
1573 care 85
1574 career 50
1575 caretak 4
1576 carey 1
1577 cargo 12
1578 caribbean 2
1579 carin 1
1580 cario 1
1581 carjack 2
1582 carl 4
1583 carlo 29
1584 carlson 1
1585 carlton 1
1586 carman 1
1587 carmelo 2
1588 carmen 4
